TABLENAME,COLUMNNAME,FLDNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
GF_TLBR_ADDITIONALDATA,S_FIRSTTIMEHBCOUNSEL,1stTimeHBCounselType,L_SYMBOL,1stTimeHBCounselType,ALIAS
GF_TLBR_ADDITIONALDATA,S_LANGUAGEPREFERENCE,Language Preference,L_SYMBOL,Language Preference,ALIAS
GF_TLBR_ADDITIONALDATA,S_MLA_CREDIT_REPORT_STATUS,Credit Report Status,L_SYMBOL,Credit Report Status,ALIAS
GF_TLBR_ADDITIONALDATA,S_TITLE,Borrower Title,L_SYMBOL,Borrower Title,ALIAS
GF_TLBR_ALIAS,S_BORR_ALIAS,Bor Alias Type,L_SYMBOL,Bor Alias Type,ALIAS
GF_TLBR_ASSIST_PROGRAMS,S_ASSIST_PVDR_TYP,Assist. Provdr Type,L_SYMBOL,Assist. Provdr Type,ALIAS
GF_TLBR_ASSIST_PROGRAMS,S_ASSIST_TYPE,Assistance Type,L_SYMBOL,Assistance Type,ALIAS
GF_TLBR_BORROWERID,IDENTIFICATION_TYPE,Borrower ID Type,L_SYMBOL,Borrower ID Type,ALIAS
GF_TLBR_CREDIT_SCORE,MODEL_TYPE,Res Score Model Type,L_SYMBOL,Res Score Model Type,ALIAS
GF_TLBR_CREDIT_SCORE,REASON_TYPE,Res Score Exl Reason,L_SYMBOL,Res Score Exl Reason,ALIAS
GF_TLBR_CREDIT_SCORE,SOURCE_TYPE,Res Score Reps Type,L_SYMBOL,Res Score Reps Type,ALIAS
GF_TLBR_ETHNICITY,S_ETHNICITY,Borrower Ethnicity,L_SYMBOL,Borrower Ethnicity,ALIAS
GF_TLBR_MI_RES_BORROWER,PRINT_POSITION_TYPE,MI Bor Prnt Pos,L_SYMBOL,MI Bor Prnt Pos,ALIAS
GF_TLBR_RACE,S_RACE,Borrower Race,L_SYMBOL,Borrower Race,ALIAS
GF_TLBR_RAW_SCORES,CRDT_SC_EXCLU_REASON,Crdt Sc Exclu Reason,L_SYMBOL,Crdt Sc Exclu Reason,ALIAS
GF_TLBR_RAW_SCORES,CRDT_SC_MODEL_NAME,Crdt Sc Model Name,L_SYMBOL,Crdt Sc Model Name,ALIAS
GF_TLBR_RAW_SCORES,CREDIT_REP_SOURCE,Credit Rep Source,L_SYMBOL,Credit Rep Source,ALIAS
GF_TLBR_SUBETHNICITY,S_SUBETHNICITY,Borrower Sub Ethni,L_SYMBOL,Borrower Sub Ethni,ALIAS
GF_TLBR_SUBRACE,S_SUBRACE,Borrower Sub Race,L_SYMBOL,Borrower Sub Race,ALIAS
GF_TLR_CBC_APPRAISAL_REQ,REQSTATUS,CBCAPR ReqStat,L_SYMBOL,CBCAPR ReqStat,ALIAS
GF_TLR_CBC_APPRAISAL_REQ,REQTYPE,CBCAPR ReqType,L_SYMBOL,CBCAPR ReqType,ALIAS
GF_TLR_CREDIT_ERROR,SOURCE_TYPE,Res Err Source Type,L_SYMBOL,Res Err Source Type,ALIAS
GF_TLR_CREDIT_REPORT_PRICE,TYPE,Crdt Rprt Price Type,L_SYMBOL,Crdt Rprt Price Type,ALIAS
GF_TLR_CREDIT_RESPONSE,MERGE_TYPE,Crdt Rprt Merge Type,L_SYMBOL,Crdt Rprt Merge Type,ALIAS
GF_TLR_CREDIT_RESPONSE,RATEING_CODE_TYPE,Crdt Rprt Rating Ty,L_SYMBOL,Crdt Rprt Rating Ty,ALIAS
GF_TLR_CREDIT_RESPONSE,REPORT_TYPE,Credit Report Type,L_SYMBOL,Credit Report Type,ALIAS
GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_TYPE,ACHAccountType,L_SYMBOL,ACHAccountType,ALIAS
