TABLENAME,COLUMNNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
GF_TLBR_ADDITIONALDATA,S_TITLE,L_SYMBOL,Borrower Title,ALIAS
GF_TLBR_ALIAS,S_BORR_ALIAS,L_SYMBOL,Bor Alias Type,ALIAS
GF_TLBR_ASSIST_PROGRAMS,S_ASSIST_PVDR_TYP,L_SYMBOL,Assist. Provdr Type,ALIAS
GF_TLBR_ASSIST_PROGRAMS,S_ASSIST_TYPE,L_SYMBOL,Assistance Type,ALIAS
GF_TLBR_BORROWERID,IDENTIFICATION_TYPE,L_SYMBOL,Borrower ID Type,ALIAS
GF_TLBR_CREDIT_SCORE,MODEL_TYPE,L_SYMBOL,Res Score Model Type,ALIAS
GF_TLBR_CREDIT_SCORE,REASON_TYPE,L_SYMBOL,Res Score Exl Reason,ALIAS
GF_TLBR_CREDIT_SCORE,SOURCE_TYPE,L_SYMBOL,Res Score Reps Type,ALIAS
GF_TLBR_ETHNICITY,S_ETHNICITY,L_SYMBOL,Borrower Ethnicity,ALIAS
GF_TLBR_MI_RES_BORROWER,PRINT_POSITION_TYPE,L_SYMBOL,MI Bor Prnt Pos,ALIAS
GF_TLBR_RACE,S_RACE,L_SYMBOL,Borrower Race,ALIAS
GF_TLBR_RAW_SCORES,CRDT_SC_EXCLU_REASON,L_SYMBOL,Crdt Sc Exclu Reason,ALIAS
GF_TLBR_RAW_SCORES,CRDT_SC_MODEL_NAME,L_SYMBOL,Crdt Sc Model Name,ALIAS
GF_TLBR_RAW_SCORES,CREDIT_REP_SOURCE,L_SYMBOL,Credit Rep Source,ALIAS
GF_TLBR_SUBETHNICITY,S_SUBETHNICITY,L_SYMBOL,Borrower Sub Ethni,ALIAS
GF_TLBR_SUBRACE,S_SUBRACE,L_SYMBOL,Borrower Sub Race,ALIAS
GF_TLR_CBC_APPRAISAL_REQ,REQSTATUS,L_SYMBOL,CBCAPR ReqStat,ALIAS
GF_TLR_CBC_APPRAISAL_REQ,REQTYPE,L_SYMBOL,CBCAPR ReqType,ALIAS
GF_TLR_CREDIT_ERROR,SOURCE_TYPE,L_SYMBOL,Res Err Source Type,ALIAS
GF_TLR_CREDIT_REPORT_PRICE,TYPE,L_SYMBOL,Crdt Rprt Price Type,ALIAS
GF_TLR_CREDIT_RESPONSE,MERGE_TYPE,L_SYMBOL,Crdt Rprt Merge Type,ALIAS
GF_TLR_CREDIT_RESPONSE,RATEING_CODE_TYPE,L_SYMBOL,Crdt Rprt Rating Ty,ALIAS
GF_TLR_CREDIT_RESPONSE,REPORT_TYPE,L_SYMBOL,Credit Report Type,ALIAS
GF_TLR_DISBURSEMENTS,ACH_ACCOUNT_TYPE,L_SYMBOL,ACHAccountType,ALIAS
GF_TLR_DISBURSEMENTS,ACH_DEBIT_OR_CREDIT,L_SYMBOL,ACHDebitOrCredit,ALIAS
GF_TLR_DISBURSEMENTS,S_FMETHOD,L_SYMBOL,Disb Trans Method,ALIAS
GF_TLR_DISBURSEMENTS,S_FSTATUS,L_SYMBOL,Disb Trans Status,ALIAS
GF_TLR_DISBURSEMENTS,S_TYPE,L_SYMBOL,Disb Instance Type,ALIAS
GF_TLR_FLOOD_DETMN,NFIP_FLOOD_REV_TYPE,L_SYMBOL,NFIP Flood Rev Type,ALIAS
GF_TLR_FLOOD_DETMN,NFIP_STATUS_TYPE,L_SYMBOL,Flood NFIPStatusType,ALIAS
GF_TLR_FLOOD_REQUEST,ACTIONTYPE,L_SYMBOL,FloodReq Action Type,ALIAS
GF_TLR_FLOOD_REQUEST,S_FLDDET,L_SYMBOL,Fld Req Detrmn Type,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_LOAN_PRODUCT_TYPE,L_SYMBOL,HFH Loan ProductType,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_MORT_PROVIDER_TYPE,L_SYMBOL,HFH MortProviderType,ALIAS
GF_TLR_HOPE_PREV_LIEN,S_SHARED_APPR,L_SYMBOL,HFH Shared Apprec,ALIAS
GF_TLR_INSURANCE,COVG_RESOLUTION,L_SYMBOL,Ins Covg Resolution,ALIAS
GF_TLR_INSURANCE,S_ESCINS,L_SYMBOL,Escrow Ins Type,ALIAS
GF_TLR_INSURANCE,S_INSTYPE,L_SYMBOL,Insurance Type,ALIAS
GF_TLR_INSURANCE,SECURED_PARTY_INS,L_SYMBOL,Secured Party Ins,ALIAS
GF_TLR_MI_APP_REQUEST,MI_CERTIFICATE_TYPE,L_SYMBOL,MI Certificate Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_COVERAGE_PLAN_TYPE,L_SYMBOL,MI Coverage Type,ALIAS
GF_TLR_MI_APP_REQUEST,MI_DURATION_TYPE,L_SYMBOL,MI Duration Code,ALIAS
GF_TLR_MI_APP_REQUEST,MI_INITIAL_PRM_AT_CLSNG_TYPE,L_SYMBOL,MI Initial Prem Typ,ALIAS
GF_TLR_MI_APP_REQUEST,MI_PREM_PAY_TYPE,L_SYMBOL,MIPremiumPaymentType,ALIAS
